05/17/2019-14:13:06.253558 198.168.108.119 [**] /bundles/176bcca991b07a6ec908fc4d36ac5ae0.svg [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:08.791998 kibana [**] /ui/fonts/open_sans/open_sans_v15_latin_700.woff2 [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48092 -> 192.168.1.130:5601
05/17/2019-14:13:10.809470 192.168.1.110 [**] /.kibana/_search?size=10000&from=0&_source=index-pattern.title%2Cindex-pattern.type%2Cnamespace%2Ctype%2Ctitle%2Ctype [**] <useragent unknown> [**] 192.168.1.130:41978 -> 192.168.1.110:9200
05/17/2019-14:13:10.815292 kibana [**] /api/saved_objects/_find?type=index-pattern&fields=title&fields=type&per_page=10000 [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48094 -> 192.168.1.130:5601
05/17/2019-14:13:10.821732 kibana [**] /bundles/4b5a84aaf1c9485e060c503a0ff8cadb.woff2 [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48096 -> 192.168.1.130:5601
05/17/2019-14:13:10.815359 198.168.108.119 [**] /ui/fonts/open_sans/open_sans_v15_latin_700.woff2 [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:10.815359 198.168.108.119 [**] /api/saved_objects/_find?type=index-pattern&fields=title&fields=type&per_page=10000 [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:11.015479 192.168.1.110 [**] /*/_search [**] <useragent unknown> [**] 192.168.1.130:42078 -> 192.168.1.110:9200
05/17/2019-14:13:11.301464 kibana [**] /api/saved_objects/_find?type=index-pattern&fields=title&per_page=10000 [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48102 -> 192.168.1.130:5601
05/17/2019-14:13:11.017721 198.168.108.119 [**] /elasticsearch/*/_search [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:11.299931 192.168.1.110 [**] /.kibana/_search?size=10000&from=0&_source=index-pattern.title%2Cnamespace%2Ctype%2Ctitle [**] <useragent unknown> [**] 192.168.1.130:41978 -> 192.168.1.110:9200
05/17/2019-14:13:11.017691 kibana [**] /elasticsearch/*/_search [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48098 -> 192.168.1.130:5601
05/17/2019-14:13:11.301497 198.168.108.119 [**] /api/saved_objects/_find?type=index-pattern&fields=title&per_page=10000 [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:20.832933 198.168.108.119 [**] /bundles/4b5a84aaf1c9485e060c503a0ff8cadb.woff2 [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53890 -> 192.168.1.135:80
